petrol_93_unleaded,petrol_95_unleaded,new_date
118.191,121.261,2000-01-31
134.011,136.329,2000-02-29
153.566,156.145,2000-03-31
140.370,141.663,2000-04-30
154.702,157.173,2000-05-31
160.477,162.702,2000-06-30
169.848,172.352,2000-07-31
183.951,186.635,2000-08-31
189.325,191.796,2000-09-30
188.863,191.819,2000-10-31
185.844,188.625,2000-11-30
178.742,181.461,2000-12-31
172.181,174.802,2001-01-31
180.043,182.868,2001-02-28
186.06,189.048,2001-03-31
190.329,194.336,2001-04-30
200.875,204.776,2001-05-31
194.903,198.485,2001-06-30
188.147,191.291,2001-07-31
188.538,191.547,2001-08-31
197.203,200.230,2001-09-30
193.413,196.244,2001-10-31
172.859,175.995,2001-11-30
195.989,199.380,2001-12-31
187.948,191.0890,2002-01-31
192.258,195.8930,2002-02-28
217.576,221.5630,2002-03-31
238.5,242.2830,2002-04-30
221.267,224.4400,2002-05-31
216.578,220.8730,2002-06-30
210.142,214.8270,2002-07-31
216.742,221.8170,2002-08-31
223.45,227.7240,2002-09-30
222.952,226.7440,2002-10-31
201.239,204.2550,2002-11-30
188.186,190.9140,2002-12-31
221.022,223.686,2003-01-31
221.022,223.686,2003-02-28
229.065,231.619,2003-03-31
162.802,166.037,2003-04-30
164.304,167.552,2003-05-31
183.246,185.791,2003-06-30
181.574,185.346,2003-07-31
189.383,193.612,2003-08-31
168.109,171.135,2003-09-30
167.963,171.404,2003-10-31
159.94,164.251,2003-11-30
163.862,166.856,2003-12-31
195.032,197.901,2004-01-31
185.811,188.030,2004-02-29
199.440,202.114,2004-03-31
206.660,210.318,2004-04-30
241.198,244.925,2004-05-31
200.960,204.080,2004-06-30
202.681,206.324,2004-07-31
224.528,226.913,2004-08-31
224.165,226.554,2004-09-30
237.984,240.824,2004-10-31
211.634,213.365,2004-11-30
172.557,174.022,2004-12-31
199.912,201.662,2005-01-31
218.473,219.861,2005-02-28
259.673,261.061,2005-03-31
289.273,290.661,2005-04-30
266.232,267.013,2005-05-31
244.232,245.013,2005-06-30
273.232,277.013,2005-07-31
300.232,304.013,2005-08-31
326.232,330.013,2005-09-30
338.232,341.013,2005-10-31
307.232,310.013,2005-11-30
272.232,275.013,2005-12-31
266.232,269.013,2006-01-31
280.232,283.013,2006-02-28
269.232,272.013,2006-03-31
295.632,297.413,2006-04-30
334.632,336.413,2006-05-31
370.632,372.413,2006-06-30
395.632,397.413,2006-07-31
426.632,428.413,2006-08-31
390.632,392.413,2006-09-30
337.632,339.630,2006-10-31
316.632,318.413,2006-11-30
309.632,311.413,2006-12-31
315.632,319.413,2007-01-31
292.632,296.413,2007-02-28
315.532,319.313,2007-03-31
374.532,377.313,2007-04-30
